word,img,sentence,Session1.thisRepN,Session1.thisTrialN,Session1.thisN,Session1.thisIndex,Session2.thisRepN,Session2.thisTrialN,Session2.thisN,Session2.thisIndex,S2_engAJT_block.thisRepN,S2_engAJT_block.thisTrialN,S2_engAJT_block.thisN,S2_engAJT_block.thisIndex,S2_vocabPhase.thisRepN,S2_vocabPhase.thisTrialN,S2_vocabPhase.thisN,S2_vocabPhase.thisIndex,S2_vocabRep.thisRepN,S2_vocabRep.thisTrialN,S2_vocabRep.thisN,S2_vocabRep.thisIndex,S2_vocabLearnTrials.thisRepN,S2_vocabLearnTrials.thisTrialN,S2_vocabLearnTrials.thisN,S2_vocabLearnTrials.thisIndex,S2_vocabTestTrials.thisRepN,S2_vocabTestTrials.thisTrialN,S2_vocabTestTrials.thisN,S2_vocabTestTrials.thisIndex,too_fast_punish.thisRepN,too_fast_punish.thisTrialN,too_fast_punish.thisN,too_fast_punish.thisIndex,S2_sentLearnTrials.thisRepN,S2_sentLearnTrials.thisTrialN,S2_sentLearnTrials.thisN,S2_sentLearnTrials.thisIndex,S2_sentPraxPhase.thisRepN,S2_sentPraxPhase.thisTrialN,S2_sentPraxPhase.thisN,S2_sentPraxPhase.thisIndex,s2_sentPrax_C,s2_sentPrax_P,s4_sentPrax_C,s4_sentPrax_P,s5_sentPrax_C,s5_sentPrax_P,s6_sentPrax_C,s6_sentPrax_P,S2_sentPraxC_block.thisRepN,S2_sentPraxC_block.thisTrialN,S2_sentPraxC_block.thisN,S2_sentPraxC_block.thisIndex,S2_sentPraxP_block.thisRepN,S2_sentPraxP_block.thisTrialN,S2_sentPraxP_block.thisN,S2_sentPraxP_block.thisIndex,S2_sentPraxP_trials.thisRepN,S2_sentPraxP_trials.thisTrialN,S2_sentPraxP_trials.thisN,S2_sentPraxP_trials.thisIndex,target,foils,brocanto_story.started,start_brocanto.started,vocab_learn_begin.started,vocab_text.started,key_resp.started,vocab_image.started,S2_vrepeat.started,S2_vrepeat_key_resp.started,S2_vrepeat_key_resp.keys,S2_vrepeat_key_resp.rt,vtest_instr_text.started,vtest_begin.started,answerbox.started,S2_vocabTest_resp,S2_vocabTest_rts,S2_vtest_key_resp.started,S2_vtest_text.started,S2_vtest_img.started,S2_vtest_key_resp.keys,S2_vtest_key_resp.rt,S2_vtest_fb.started,S2_vtest_fb.stopped,S2_vtest_eval.started,S2_v_phase_end.started,S2_v_phase_end.keys,S2_v_phase_end.rt,sent_learn_instr_text.started,sent_learn_begin.started,sent_learn_img.started,sent_text.started,sent_prax_instr_text.started,sent_prax_begin.started,sentPrax_P_instr_text.started,sentPrax_P_begin.started,blankITI_2.started,sent_Prax_P_img.started,sent_Prax_P_img.stopped,blankITI_2.stopped,S2_sentPrax_P_key_resp.started,S2_sentPraxP_resp,S2_sentPraxP_rts,sent_Prax_P_img_3.started,sent_Prax_P_text.started,participant,session,date,expName,psychopyVersion,frameRate,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.577052199980244,8.577052199980244,9.432805599994026,10.010365399997681,10.010365399997681,10.010365399997681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h20.16.775,Memory and Syntax,2022.2.5,160.3831232093273,
lu blom,brocanto/stims/to_use/firefighter3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.540858099993784,10.540858099993784,10.540858099993784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h20.16.775,Memory and Syntax,2022.2.5,160.3831232093273,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.077065299992682,11.077065299992682,11.077065299992682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h20.16.775,Memory and Syntax,2022.2.5,160.3831232093273,
lu neep,brocanto/stims/to_use/doctor2.png,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.580708599998616,11.580708599998616,11.580708599998616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h20.16.775,Memory and Syntax,2022.2.5,160.3831232093273,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.84784839997883,11.84784839997883,11.84784839997883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h20.16.775,Memory and Syntax,2022.2.5,160.3831232093273,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.155406899983063,12.155406899983063,12.155406899983063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h20.16.775,Memory and Syntax,2022.2.5,160.3831232093273,
lu troise,brocanto/stims/to_use/janitor2.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.669072099990444,12.669072099990444,12.669072099990444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h20.16.775,Memory and Syntax,2022.2.5,160.3831232093273,
lu vode,brocanto/stims/to_use/chef1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.240068899991456,13.240068899991456,13.240068899991456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h20.16.775,Memory and Syntax,2022.2.5,160.3831232093273,
lu pleck,brocanto/stims/to_use/mechanic1.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.79133819998242,13.79133819998242,13.79133819998242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h20.16.775,Memory and Syntax,2022.2.5,160.3831232093273,
lu neimo,brocanto/stims/to_use/pilot3.jpg,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,3,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.274506899993867,14.274506899993867,14.274506899993867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2023-02-22_13h20.16.775,Memory and Syntax,2022.2.5,160.3831232093273,
